1001 110 

100111 1000110 

111101111 1000110110 

1010010100101 100010000001 

1010111010100101 1001101001011111 

1000011110011011110 1010111111101110101 

110111010000001101001 110110011110011110100 

110100100101101001101001 1010001011000001001001000 

1011111000111101100001110010 100001000000111001101011101 

1010011101010101000100100010010 1010100101011010011100100000111 

1011001100110111001100000001111110 111011001111011100000100110100010 

100010111010101011000001000101101110 101100111001010010000110110000100111 

100110110100011010111000100011101101101 1000111011010000000011001010010100010111 

101110101011101011110100011000111100001101 1001111111011100000111001000001000000000010 

1011110011000110000100111110001001000011000111 1000100100110011011101111100011000011010110101 

1010000110000110101010110011000001100010010000001 110101110101000101100001010100110001101110100110 

101101010011111111001111100000101001110011001111010 1000101000000110010100100101011111010010100101101100 

110111110111000100110110111011010010111010101000110011 1000110111101001001100100110111011111011001010101000011 

100001100011011000001001101110101000100110001010111010110 1011010000111100100011101111010111100100101100010110011100 

1010010100000010100011110010011001000100011111000001110011101 1000011011111001111000001110100000010001111011111000101001011 

110001011011000110110100100100001101010100100111110011100110101 101000110101111111000001011100110101001111101011111101110111111 

1011011011100001000100100100110001001110010001111000001101111101100 111010110110000101001001101001111101101110001011001100011001011010 

110011000001001110111000100011100010000001000100000101001001111100001 1000010100001011011110101001011110111100001010101100000000001000001110 

111101011000011010000001100101010011011110100110110110010110100110111110 1001110101011101100100000001100001001111011001010101100101000110010011000 

101100110010110111111111011101101100010001010011010000000010100111001110010 1001000111011010011110101000010010010100001100011001111011111110001100101100 

1000011000010001010011100010010111100011011111001001100101010111101001000000000 1010111011100100011010110011001110000101100010000110000101111101111100010011111 

111000001111001110011100000000110000000110110001111101010111000100100011001110111 1010110100101110110001100010001100001010100101000000101100011011110110101010000000 

100101000011011110011001001100110011101110111110011011100101110001111100110011110110 100100100111010101110110110000110010110000101011101001000001000011111101011101010100 

111000100101111010000001101011100000001000111010011000011010101010101100111111101000000 101111101011110000001011011110000001000001001001011111101010101011101110010001100001000 

1010010110000010011000011101111110000000001101110001101101010101010100011110111010100110010 111100101100001000100010100011010101010100000000001010011110000100000101110001010001110110 

100110101111110110010110011010011110100001100111110100001110011110010011011001011100100100100 100100001000000010110001010001100001100000101101111111101010011010101110101111101001000110010 

100101001001010000111000000010101011011110100000010010001001111111011100110011011011000110011110 1000000000000000001100101111011111000000111000100010100101001011001111100110110011010100011011100 

110010111110001111101010101101011010101001011110010011111010101001101001001011000000110110001000011 101111000101101010010010000000010001111000010111001101110000000011010000100000001000111100011011000 

1000011111100011000011010111100100010100011101001010001100111111101110110011101100001101000110011000001 111111100000110111010111100111111111000101010000000110001000001001110101011000110011000100111011110000 

1011000100100110011001100010000110010110110101101101111110100000101001001000100110010011110000001101101010 111111100110110111110000011011110011111100010001100001010000001110001100000000110001110111101101100001101 

1011000011011110100010001001011111001000001101110101011100011011010001110101101011010011000000000000000110011 1011000101101110001001000010011110110001000000000110111111111111000001010111000011000100101011010101000000000 

1001101101111010011011100101011110011000110001111011011010101000111000100001010011010101001101011111101101000110 1010101110000110010101001110101001100011010001110011111111100001001101000001101110101010110101011110000011110000 

100110110101011111000101110100100011000011010001100100111110001110110011001011110100100001110110100001010111011011 1001101011101111010111001000100111100110011011001010011100100100011001101101010111111101100111101110111110100110011 

1000101110101011001111101000001000001000011000111010000100111111101100000011100000010000010100000011111000110000001111 1010100011010100000100111011110101111111110110000011011010010101000011110110010010000001110101110110110010011010111001 

101100110110101110001011011010111011110110100010101110011001101010100101110110000111001100111100001001000001001010010111 100001000100110011111110101111100000001000100001110000111101101000011010111111001111101101100101011111010010100011010101 

110110001110001100001011010110011001010100111111000101101010101001111110010110001000101100000110011101100110111111110001110 1011100001010001000110010110101111000010100100110010001110100111100001110010100000111110000111011000101110101001001111111011 

110001110000011000101101010100100111010101011111001010110011111100101111001001011110010010011000101011000000100001001011101000 1010100000010110001101001000101101100011001001111111110001011101110011000100100100001100101101001100101110101001101001001001100 

1001001111100110110010001100010001110000111110101011110000010010001011011111000011000000110100010110001110001010110001111010101001 100010110010000000110111000100101101101101010110010110101110110011000011100001110100111000001110000110110100001100101101000000001 

1001100110000100111000100101111100011001101111011011001000010111101001111011000100011011011011100011010011111000101011101100010010110 1001110111100001011110010110110110010100001111010000010110101111001100110001100011000001000001000000111110101011011111000101110100010 

110100010100100101110100011100111011001101011101101011000000010011011110100000100001011010100010100001111001110100101101010100010101100 1011011010000110101010111000100001001010011111011000101101001100110100001101001000011111010001100000000101010110111000011111010000110100 

101011001000110000000000110111011011001101010110100011101100010100001110000011011101001001100000001010110001000001001100100101111010010101 1000110001000110110010010010010010000100001110110010100011110001010101001010101110110111110100100011110001011100001111010110000110000111010 

1001000110110000111000001100110100101010100011111100101010010110111110001110000100101101000101000101011010111111010001011000001000100100011111 1011010110111000011101000010001111100000011111010000001010000110110100101100101101010110010011010111110000001001010100100101010111001111110111 

111111110111001011100010110000110000100001001011111011010011010001011011111011111001000101101011011101011000001100110000110010101011001000001010 101110101011001001010010110100011101111101011011100011011001010000111110100111111111001101100101101010000010110111110100110110001101011010111111 

101101010101111110011111011100000000000111011100010011000111011011100000111101000100000111101001110001000011011011111111111101010111110000010100101 111001001110010111001101011000011010101101000000111110001010010011110011011110111011101111100010011100001010111111011110000100000110100011010001110 

1000110111011011000110000010000110101010010010010010101100000100010011101010110111000010111110101111101101000011001110000011001100110100101000000000100 1000010000010001110100101100011001001101001011100110011010110111011010000001000111000010101101111000100101010101011100101001001101000001100011100100001 

100110000010100101011011010011111001100111010100100110011000111110100111010001101000101011010111100111011110100011100010101110110011010001000101001111001 101110001010010110100111001001100111011001010101101000000101000100101011110101011011000100111001011111010010101110110001010100101011101111010100010100010 

101111001000001001001011100110011010101101001001110000000111010100111111011110000011011101110101101100111111010111001001010100000011101000111101101110100001 110100100110110011110010111101011011011110001001010001110001101111110011011000000110111100010010100001010000011001011110001101001011111000110011100010010100 

1001101101001011101111111111010110010111011111110110001000101010000001010000000100001110111111011110011111010010111100001000000000100011001110011010110110010101 101111111101100100100111011100100010010011010000110010000011001011111101101111100100100110111110011011001100000000111010111100100100111010010100111100011100011 

110100110010101100000111001010001110110101011000011000101011000110100101100000010010001010000000100111110011000111010010000000101111011010001111011010001000011111 1011010000111101100011000101111110111101110100111011100110010000100100001011101100100100111001010111111100010110001010001011011110010001111100001111100010010110000 

1010001010001100111100111000100110011110000111101000010110000110101111001000000111111000010110011111001001001101000010110000010110001001011010000111100110010001101111 110111100110010110000111101111000101111110000000010010100000000111001110101010111110000011101101110001111110000111010111100001111111000011010111100100100011000011100 

1010110101001010011000101010110011101110001111010000101010100010110101111111010010100000110001000010101011101011110011100010011000110101000100001011100001001000110000010 100110101110100101110100110011000101000000001111011000111111101010111010011100110111011010110010111110111101001010001010110010010010000100011010001101001101110000111110 

1000010110111010010010111010100101111101011110101110110110010011101111001110110010010110010001110001011101001111101101111000100010011000001110110010110001111110101001000101 1010000111011101010001101011111110010010011100100101011110010110000111010000010000011001000010101000111001110110001101000000000001001001000000001001001010101100110101110010 

101110011100001000001001011011010010111100100011011000110000111101010101000111011011010010100111011010011110010001011101010110101111110101110100000111011011000100011010001111 1000001100111001111010001110101110111000000100001110111100111100101100111011001010100110100100001010011101011100111111000011010110100110011111100111000101110000000111111010100 

1010110010011111101011000110001110011001100010101101111001111100110010000010111000001101100101110001101101000001111000011100011011101000101101101101110011101101010110010110011111 1010100100101101110001010000100101001010010110101011110011010000100001101110010010101000100111001110100001001100110011000001010010100110000101011110100100110011111100100110100111 

101100110110000111010100111010101100101000001100011110111010011111101000110000100000111010010100011000000101101111111111101101111110101101110000000011000100100001101110000010111001 111100000110010101011111101101100101010110000101111101111101001101011110100100100000100100001101000001000011001001000100100101101111011000000011110010011010010001001010111101110111 

1011001001000100001110001000110000111100010000100101000111101110011011010011100101110100011000011000011110111001101010100011001101010100001101011101010100101101111101001011111100010010 110111100101100111111010011011000001100111111100100101110110101100100101010001001000011100001000001101001111101000000010000110001100001111001010001011010000110110100101011100000010011 

1011011010110101101101111100110101000011001101101010101101110000000010011110001100111010101100010111100000001010011000001011100000111001000000111110100010110100100111101100111100001010100 110011001101001000011101101100100000100001101100001011100101000101111111101111000001101001000110100101000011101010100101101001100100101010011100111101110100000000100000101101111110111010 

1011011111010100010101101101111000101111001000100111011100100110001011100100101000001101000000110101110110010101001101001001000011000011101101110110000101100111100101011011000110011110110011 1001100100001100000101100101010001010010100001001100110011000110001000010001101010001110001101011101000010110000001001010010011001011010011001110101000100101110011000000101011011110011110101 

1000111010001101000010010111011111110101101001000111010010110001001010001011011010110010011110001100001001111100110000100011011001110110010001101010101110001010100110111110001000110101000010010 1011101100011101111110101111000100100101100000111011000011101100010111100010101000010100110011000100101010111000001100000000011111011110010001000111110011100101000010010010100100101100010111111 

1000010010001110111100010101100101101111000011011101110000110010000110100111011010110010111100101111011011110101111000111000001111101010101101110011111111110101000000100100000010111100110011101011 1011001001100000100110001000011000001100100101101100001101011101001001011001010011000010101000010111000100000110100110111100100101111011011001010101011010110010100101011110110110001001000101100111 

101001111110011000110101110001110101100100001010100100011111000001010101011010000101010110110101101010011000001011001111011000111000111100111101010100110110001001011101000101011011010010011100111100 110101000010001111101011100010100100110011111011111100010101010111111110011101101010001111011111100111011001101111101000111000010001101000001010100101011111101000110111110011011101010101000001110100 

1000110101110111110110100111100111101110000001100010101110011001010101111011011100110111101011110101111010110111011101011010111000110010010010000000110100101011111001101111000111010101100010111000111100 100011110100011100101111001000001110010111000100111011001000111000101000110010110101111011110000100100011000111111101000101101100001101000001011110001000010101001100101100101001100100001011011110100110 

1011001000000001001001110101110010011001100011010100111111001110000001100010110010011001011101011101000011110100011010000111111111110000000111101000101000001110000101101100100110011100111001110111000110010 111101110110111010000000110110110000101001111111010101111000111001001010100111101110111010101101011000111100110100010011110010001100101100110001101010111101000001100001111011110101111111110011110010001101 

110001000101111111000101110000100010111001100101110101100001011111011011000010000110000110011000010100111011100001101101010101000111011011101000101101110011110100011101011111100110101001001000110100100100101 111110101010010111111100110101111100101011111100111001001011001000000011000011100100100100001010100001000111001100111001110011011110010010001001100000100011001011001110100101100010101110011100101001000100010 

